range,column,x_start,x_end,y_start,y_end
1,1,-1.218612323,2.282210483,23.34809738,24.87852644
1,2,-1.220277534,2.280545194,21.81800052,23.34843959
1,3,-1.221942743,2.278879983,20.28790366,21.81834273
1,4,-1.223617953,2.277214773,18.7578067,20.28824586
1,5,-1.225283162,2.275549563,17.22770984,18.758149
1,6,-1.226948371,2.273884352,15.69761298,17.22805214
1,7,-1.228613584,2.272209144,14.16751612,15.69795519
1,8,-1.230278792,2.270543934,12.63741925,14.16785832
1,9,-1.231944004,2.268878724,11.10732239,12.63776146
1,10,-1.233609215,2.267213513,9.577225529,11.1076646
1,11,-1.235274425,2.265548302,8.047128667,9.577567735
1,12,-1.236939636,2.263883093,6.517031804,8.047470872
1,13,-1.238604926,2.262217882,4.986944955,6.51737401
1,14,-1.240270135,2.260552671,3.456848093,4.987277149
1,15,-1.241935344,2.258887462,1.92675123,3.457180285
1,16,-1.243600556,2.25722225,0.396654368,1.927083423
2,1,2.765427877,6.266250683,23.3484835,24.87891255
2,2,2.763762667,6.264585473,21.81838664,23.34881569
2,3,2.762097457,6.262920182,20.28828977,21.81872884
2,4,2.760432246,6.261254973,18.75819291,20.28863198
2,5,2.758767036,6.259589762,17.22809605,18.75853512
2,6,2.757101825,6.257924553,15.69799918,17.22843825
2,7,2.755426618,6.256259343,14.16790223,15.69834139
2,8,2.753761407,6.254594131,12.63780537,14.16824453
2,9,2.752096197,6.252928921,11.10770851,12.63814767
2,10,2.750430985,6.251253714,9.577611646,11.10805071
2,11,2.748765776,6.249588503,8.047514782,9.577953851
2,12,2.747100565,6.247923293,6.51741792,8.047856989
2,13,2.745435354,6.246258082,4.987321058,6.517760125
2,14,2.743770066,6.244592872,3.457234208,4.987663263
2,15,2.742104855,6.242927661,1.927137346,3.457566401
2,16,2.740439645,6.241262452,0.397040484,1.927469539
3,1,6.749468078,10.25029088,23.34886961,24.87929867
3,2,6.747802867,10.24862567,21.81877275,23.34920181
3,3,6.746137657,10.24696046,20.28867589,21.81910494
3,4,6.744472446,10.24529525,18.75857903,20.28900808
3,5,6.742807235,10.24362996,17.22848216,18.75892123
3,6,6.741142026,10.24196475,15.6983853,17.22882437
3,7,6.739476815,10.24029954,14.16828844,15.69872751
3,8,6.737811604,10.23863433,12.63819158,14.16863064
3,9,6.736146393,10.23696912,11.10809471,12.63853378
3,10,6.734471185,10.23530391,9.577997761,11.10843692
3,11,6.732805975,10.2336387,8.047900899,9.578340057
3,12,6.731140764,10.23196349,6.517804036,8.048243106
3,13,6.729475554,10.23029828,4.987707173,6.518146242
3,14,6.727810342,10.22863307,3.457610311,4.98804938
3,15,6.726145055,10.22696786,1.927523462,3.457952517
3,16,6.724479846,10.22530265,0.3974266,1.927855654
4,1,10.73350828,14.23434108,23.34925573,24.87968487
4,2,10.73184307,14.23267587,21.81915887,23.34958801
4,3,10.73017786,14.23100066,20.289062,21.81949106
4,4,10.72851265,14.22933545,18.75896514,20.2893942
4,5,10.72684744,14.22767024,17.22886828,18.75929733
4,6,10.72518222,14.22600495,15.69877142,17.22921048
4,7,10.72351702,14.22433974,14.16867455,15.69911362
4,8,10.7218518,14.22267453,12.63857769,14.16901676
